M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player NoNo,Player NamePlayer,C,PositionPos.,Total ABSABS,Attack PointsA Pts,Block PointsB Pts,Serve PointsS Pts,ErrorsErr,Efficiency %Eff,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff,PointPt,ErrorsErr,TouchesTouches,TotalTot.,Efficiency %Eff,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff,SuccessfulSuccessful,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff,DigsDig,ErrorsErr,TotalTot.,Efficiency %Eff,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,5,Nasri,-,OH,1,1,0,0,-,-40,1,1,0,2,0,0,1,0,1,-100,0,1,1,2,-50,1,1,3,5,0,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,7,Esi,-,OH,4,2,2,0,-,23.08,2,1,0,3,33.33,2,0,2,4,50,0,0,6,6,0,2,0,4,6,33.33,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,8,Hazrat,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,4,1,9,14,21.43,5,1,7,57.14,0,0,4,4,0
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,9,Poriya,-,OH,6,6,0,0,-,35.71,6,0,1,7,85.71,0,0,0,0,-,0,1,6,7,-14.29,0,0,0,0,-,2,0,2,100,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,10,Amin,C,O,11,10,0,1,-,45,10,1,2,13,69.23,0,1,1,2,-50,1,0,4,5,20,0,0,0,0,-,2,1,4,25,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,11,Ilshan,-,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,1,0,0,1,100
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,15,Arshia,-,S,0,0,0,0,-,-18.18,0,0,0,0,-,0,1,1,2,-50,0,3,17,20,-15,0,0,0,0,-,3,2,5,20,25,0,20,45,55.56
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,17,Haji,-,O,3,3,0,0,-,14.29,3,1,0,4,50,0,0,0,0,-,0,1,2,3,-33.33,0,0,0,0,-,3,0,3,100,0,0,1,1,0
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,19,Hossein,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,22,Haghparast,-,OH,1,1,0,0,-,0,1,1,0,2,0,0,0,0,0,-,0,0,1,1,0,1,0,1,2,50,2,0,2,100,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,27,Mohammad,-,MB,3,2,0,1,-,21.43,2,0,0,2,100,0,0,0,0,-,1,0,11,12,8.33,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,49,Morteza,-,OH,7,5,2,0,-,5.26,5,1,3,9,44.44,2,3,1,6,-16.67,0,2,2,4,-50,3,0,3,6,50,1,2,3,-33.33,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,66,Eisa,-,MB,5,4,1,0,-,0,4,1,0,5,60,1,4,2,7,-42.86,0,0,9,9,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,99,Nima,-,MB,1,1,0,0,-,-12.5,1,0,1,2,50,0,2,1,3,-66.67,0,0,3,3,0,0,1,0,1,-100,0,0,1,0,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,5,Nasri,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,7,Esi,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,8,Hazrat,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,0,1,3,66.67,2,0,3,66.67,0,0,2,2,0
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,9,Poriya,-,OH,3,3,0,0,-,42.86,3,0,0,3,100,0,0,0,0,-,0,0,4,4,0,0,0,0,0,-,1,0,1,100,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,10,Amin,C,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,11,Ilshan,-,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,0,0,-,1,0,0,1,100
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,15,Arshia,-,S,0,0,0,0,-,-50,0,0,0,0,-,0,1,0,1,-100,0,1,2,3,-33.33,0,0,0,0,-,2,0,2,100,6,0,6,12,50
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,17,Haji,-,O,2,2,0,0,-,20,2,1,0,3,33.33,0,0,0,0,-,0,0,2,2,0,0,0,0,0,-,1,0,1,100,0,0,1,1,0
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,19,Hossein,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,22,Haghparast,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,27,Mohammad,-,MB,3,2,0,1,-,30,2,0,0,2,100,0,0,0,0,-,1,0,7,8,12.5,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,49,Morteza,-,OH,5,4,1,0,-,-6.67,4,1,2,7,42.86,1,3,1,5,-40,0,2,1,3,-66.67,3,0,3,6,50,0,2,2,-100,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,66,Eisa,-,MB,2,1,1,0,-,0,1,0,0,1,100,1,2,0,3,-33.33,0,0,3,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,99,Nima,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,2,5,Nasri,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,2,7,Esi,-,OH,4,2,2,0,-,42.86,2,1,0,3,33.33,2,0,1,3,66.67,0,0,1,1,0,0,0,3,3,0,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,2,8,Hazrat,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,3,4,25,2,1,3,33.33,0,0,0,0,-
