M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Total ABSABS,Attack PointsA Pts,Block PointsB Pts,Serve PointsS Pts,ErrorsErr,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,PointPt,ErrorsErr,TouchesTouches,TotalTot.,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,SuccessfulSuccessful,ErrorsErr,AttemptsAtt,TotalTot.,DigsDig,ErrorsErr,TotalTot.,PointPt,ErrorsErr,AttemptsAtt,TotalTot.
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,ALL,42,35,5,2,-,35,7,7,49,5,12,8,25,2,8,63,73,11,3,20,34,18,6,27,26,0,25,51
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,1,15,12,2,1,-,12,2,2,16,2,6,1,9,1,3,20,24,5,0,4,9,6,2,9,7,0,9,16
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,2,12,9,3,0,-,9,2,2,13,3,0,2,5,0,3,22,25,1,1,6,8,6,2,8,6,0,7,13
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,Iran,New Zealand,3,0,25,25,25,-,-,15,12,22,-,-,3,15,14,0,1,-,14,3,3,20,0,6,5,11,1,2,21,24,5,2,10,17,6,2,10,13,0,9,22
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,41,31,7,3,-,31,17,21,69,7,10,5,22,3,17,31,51,23,2,40,65,7,8,21,15,4,57,76
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,1,12,10,2,0,-,10,5,5,20,2,0,1,3,0,7,9,16,7,1,13,21,1,5,6,3,0,18,21
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,2,9,6,2,1,-,6,10,7,23,2,3,1,6,1,4,7,12,8,0,14,22,2,1,5,7,2,17,26
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,3,20,15,3,2,-,15,2,9,26,3,7,3,13,2,6,15,23,8,1,13,22,4,2,10,5,2,22,29
Men,2026,2,2026/9/4,C,Preliminary,Fukuoka,Japan,Korea,Chinese Taipei,3,1,29,19,25,25,-,27,25,15,15,-,ALL,73,52,16,5,-,52,16,26,94,16,26,16,58,5,9,84,98,19,1,48,68,21,8,44,39,0,54,93
Men,2026,2,2026/9/4,C,Preliminary,Fukuoka,Japan,Korea,Chinese Taipei,3,1,29,19,25,25,-,27,25,15,15,-,1,19,15,4,0,-,15,4,3,22,4,10,3,17,0,3,26,29,6,0,15,21,1,4,7,12,0,10,22
Men,2026,2,2026/9/4,C,Preliminary,Fukuoka,Japan,Korea,Chinese Taipei,3,1,29,19,25,25,-,27,25,15,15,-,2,15,12,2,1,-,12,5,11,28,2,9,2,13,1,3,16,20,4,0,17,21,6,3,11,12,0,16,28
Men,2026,2,2026/9/4,C,Preliminary,Fukuoka,Japan,Korea,Chinese Taipei,3,1,29,19,25,25,-,27,25,15,15,-,3,20,12,4,4,-,12,5,5,22,4,3,8,15,4,0,20,24,4,0,9,13,8,0,15,8,0,15,23
Men,2026,2,2026/9/4,C,Preliminary,Fukuoka,Japan,Korea,Chinese Taipei,3,1,29,19,25,25,-,27,25,15,15,-,4,19,13,6,0,-,13,2,7,22,6,4,3,13,0,3,22,25,5,1,7,13,6,1,11,7,0,13,20
Men,2026,2,2026/9/4,C,Preliminary,Fukuoka,Japan,Chinese Taipei,Korea,1,3,27,25,15,15,-,29,19,25,25,-,ALL,66,56,9,1,-,56,24,35,115,9,26,17,52,1,15,67,83,14,5,70,89,25,12,47,46,1,69,116
Men,2026,2,2026/9/4,C,Preliminary,Fukuoka,Japan,Chinese Taipei,Korea,1,3,27,25,15,15,-,29,19,25,25,-,1,22,20,2,0,-,20,7,6,33,2,5,1,8,0,7,21,28,5,0,21,26,6,5,13,13,0,21,34
Men,2026,2,2026/9/4,C,Preliminary,Fukuoka,Japan,Chinese Taipei,Korea,1,3,27,25,15,15,-,29,19,25,25,-,2,19,17,2,0,-,17,3,7,27,2,7,8,17,0,3,21,24,2,1,14,17,9,3,14,14,0,13,27
Men,2026,2,2026/9/4,C,Preliminary,Fukuoka,Japan,Chinese Taipei,Korea,1,3,27,25,15,15,-,29,19,25,25,-,3,13,10,3,0,-,10,5,13,28,3,6,4,13,0,3,13,16,3,4,17,24,5,1,10,12,1,15,28
Men,2026,2,2026/9/4,C,Preliminary,Fukuoka,Japan,Chinese Taipei,Korea,1,3,27,25,15,15,-,29,19,25,25,-,4,12,9,2,1,-,9,9,9,27,2,8,4,14,1,2,12,15,4,0,18,22,5,3,10,7,0,20,27
Men,2026,3,2026/9/4,A,Preliminary,Fukuoka,Japan,Japan,Oman,3,1,25,25,20,25,-,18,13,25,9,-,ALL,67,46,10,11,-,46,11,26,83,10,18,9,37,11,9,74,94,10,1,36,47,34,16,55,40,0,42,82
Men,2026,3,2026/9/4,A,Preliminary,Fukuoka,Japan,Japan,Oman,3,1,25,25,20,25,-,18,13,25,9,-,1,21,15,4,2,-,15,2,12,29,4,5,2,11,2,3,20,25,5,1,9,15,10,3,16,15,0,12,27
Men,2026,3,2026/9/4,A,Preliminary,Fukuoka,Japan,Japan,Oman,3,1,25,25,20,25,-,18,13,25,9,-,2,19,12,2,5,-,12,0,6,18,2,5,1,8,5,2,17,24,1,0,8,9,9,3,12,7,0,11,18
Men,2026,3,2026/9/4,A,Preliminary,Fukuoka,Japan,Japan,Oman,3,1,25,25,20,25,-,18,13,25,9,-,3,13,10,1,2,-,10,8,5,23,1,5,1,7,2,2,17,21,4,0,14,18,5,8,15,10,0,13,23
Men,2026,3,2026/9/4,A,Preliminary,Fukuoka,Japan,Japan,Oman,3,1,25,25,20,25,-,18,13,25,9,-,4,14,9,3,2,-,9,1,3,13,3,3,5,11,2,2,20,24,0,0,5,5,10,2,12,8,0,6,14
Men,2026,3,2026/9/4,A,Preliminary,Fukuoka,Japan,Oman,Japan,1,3,18,13,25,9,-,25,25,20,25,-,ALL,50,42,7,1,-,42,16,34,92,7,11,12,30,1,19,46,66,13,11,61,85,21,16,45,17,1,78,96
Men,2026,3,2026/9/4,A,Preliminary,Fukuoka,Japan,Oman,Japan,1,3,18,13,25,9,-,25,25,20,25,-,1,14,12,1,1,-,12,4,7,23,1,5,6,12,1,3,14,18,2,2,18,22,7,5,16,4,1,22,27
Men,2026,3,2026/9/4,A,Preliminary,Fukuoka,Japan,Oman,Japan,1,3,18,13,25,9,-,25,25,20,25,-,2,9,9,0,0,-,9,3,10,22,0,1,3,4,0,5,9,14,1,5,16,22,5,3,8,2,0,19,21
Men,2026,3,2026/9/4,A,Preliminary,Fukuoka,Japan,Oman,Japan,1,3,18,13,25,9,-,25,25,20,25,-,3,21,15,6,0,-,15,2,6,23,6,2,1,9,0,6,18,24,2,2,15,19,6,4,11,6,0,17,23
Men,2026,3,2026/9/4,A,Preliminary,Fukuoka,Japan,Oman,Japan,1,3,18,13,25,9,-,25,25,20,25,-,4,6,6,0,0,-,6,7,11,24,0,3,2,5,0,5,5,10,8,2,12,22,3,4,10,5,0,20,25
Men,2026,4,2026/9/5,A,Preliminary,Fukuoka,Japan,Australia,Bahrain,3,0,25,25,25,-,-,20,18,21,-,-,ALL,59,44,9,6,-,44,11,24,79,9,14,13,36,6,17,50,73,13,2,39,54,21,8,35,29,1,48,78
Men,2026,4,2026/9/5,A,Preliminary,Fukuoka,Japan,Australia,Bahrain,3,0,25,25,25,-,-,20,18,21,-,-,1,19,11,6,2,-,11,4,11,26,6,5,3,14,2,7,15,24,6,1,13,20,6,2,10,8,0,18,26
Men,2026,4,2026/9/5,A,Preliminary,Fukuoka,Japan,Australia,Bahrain,3,0,25,25,25,-,-,20,18,21,-,-,2,18,16,1,1,-,16,3,10,29,1,5,4,10,1,3,21,25,3,1,10,14,12,5,21,10,0,19,29
Men,2026,4,2026/9/5,A,Preliminary,Fukuoka,Japan,Australia,Bahrain,3,0,25,25,25,-,-,20,18,21,-,-,3,22,17,2,3,-,17,4,3,24,2,4,6,12,3,7,14,24,4,0,16,20,3,1,4,11,1,11,23
Men,2026,4,2026/9/5,A,Preliminary,Fukuoka,Japan,Bahrain,Australia,0,3,20,18,21,-,-,25,25,25,-,-,ALL,34,28,4,2,-,28,16,24,68,4,17,10,31,2,7,52,61,6,6,44,56,18,10,39,15,1,56,72
Men,2026,4,2026/9/5,A,Preliminary,Fukuoka,Japan,Bahrain,Australia,0,3,20,18,21,-,-,25,25,25,-,-,1,11,8,2,1,-,8,10,6,24,2,5,4,11,1,1,19,21,1,2,14,17,9,3,15,6,0,20,26
