M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,1,Youssef ,-,OH,12,9,1,2,-,-1.85,9,5,12,26,15.38,1,8,0,9,-77.78,2,0,17,19,10.53,14,0,14,28,50,10,2,13,61.54,0,0,1,1,0
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,2,Pape ,-,MB,10,6,4,0,-,19.35,6,0,4,10,60,4,3,4,11,9.09,0,1,9,10,-10,0,0,0,0,-,2,0,4,50,0,0,0,0,-
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,4,Renan ,-,OH,8,7,1,0,-,1.85,7,2,14,23,21.74,1,5,5,11,-36.36,0,0,20,20,0,12,1,10,23,47.83,7,1,12,50,0,0,14,14,0
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,7,Belal ,-,MB,8,2,5,1,-,3.12,2,0,4,6,33.33,5,7,5,17,-11.76,1,0,8,9,11.11,1,0,0,1,100,7,0,9,77.78,0,0,0,0,-
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,9,Milos ,-,S,1,1,0,0,-,10,1,0,1,2,50,0,0,2,2,0,0,0,6,6,0,0,0,1,1,0,4,0,4,100,6,0,43,49,12.24
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,10,Ghanim ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,11,Nikola ,-,OH,2,2,0,0,-,-11.11,2,4,7,13,-15.38,0,1,1,2,-50,0,0,12,12,0,8,0,4,12,66.67,5,2,8,37.5,0,0,1,1,0
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,12,Mubarak,C,O,17,13,4,0,-,4.62,13,7,14,34,17.65,4,7,4,15,-20,0,0,16,16,0,0,0,0,0,-,5,3,10,20,0,0,3,3,0
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,14,Yousef ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,15,Mahdi ,-,S,3,1,2,0,-,-16.67,1,0,1,2,50,2,6,2,10,-40,0,0,6,6,0,0,0,0,0,-,3,0,3,100,24,1,48,73,31.51
