M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,ALL,80,56,21,3,-,56,20,65,141,21,46,29,96,3,3,104,110,43,5,42,90,63,13,92,30,1,117,148
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,1,17,11,4,2,-,11,3,15,29,4,10,6,20,2,1,22,25,7,1,8,16,16,0,21,6,0,25,31
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,2,19,12,7,0,-,12,4,8,24,7,8,0,15,0,1,23,24,11,1,6,18,11,5,19,7,0,20,27
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,3,17,12,5,0,-,12,5,18,35,5,12,8,25,0,1,25,26,10,1,10,21,17,2,20,11,1,24,36
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,4,17,12,4,1,-,12,5,19,36,4,10,12,26,1,0,21,22,11,0,11,22,15,4,24,3,0,35,38
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Qatar,Oman,2,3,25,25,25,22,13,19,21,27,25,15,5,10,9,1,0,-,9,3,5,17,1,6,3,10,0,0,13,13,4,2,7,13,4,2,8,3,0,13,16
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Oman,Qatar,3,2,19,21,27,25,15,25,25,25,22,13,ALL,89,74,10,5,-,74,32,65,171,10,15,28,53,5,17,85,107,50,3,54,107,65,20,102,10,1,161,172
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Oman,Qatar,3,2,19,21,27,25,15,25,25,25,22,13,1,15,14,0,1,-,14,9,15,38,0,5,6,11,1,3,15,19,12,2,10,24,14,3,21,0,0,39,39
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Oman,Qatar,3,2,19,21,27,25,15,25,25,25,22,13,2,18,14,3,1,-,14,9,9,32,3,5,3,11,1,4,17,22,10,0,13,23,5,2,10,4,0,25,29
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Oman,Qatar,3,2,19,21,27,25,15,25,25,25,22,13,3,21,17,3,1,-,17,7,14,38,3,1,12,16,1,5,20,26,13,0,12,25,16,4,23,3,1,35,39
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Oman,Qatar,3,2,19,21,27,25,15,25,25,25,22,13,4,22,20,2,0,-,20,6,20,46,2,3,6,11,0,3,22,25,8,1,13,22,22,5,31,1,0,43,44
Men,2026,1,2026/6/20,B,Preliminary,Amdavad,India,Oman,Qatar,3,2,19,21,27,25,15,25,25,25,22,13,5,13,9,2,2,-,9,1,7,17,2,1,1,4,2,2,11,15,7,0,6,13,8,6,17,2,0,19,21
Men,2026,2,2026/6/20,A,Preliminary,Amdavad,India,Bahrain,Chinese Taipei,3,1,22,25,25,25,-,25,23,22,20,-,ALL,71,53,16,2,-,53,14,52,119,16,20,14,50,2,14,80,96,42,4,32,78,29,16,74,27,0,93,120
Men,2026,2,2026/6/20,A,Preliminary,Amdavad,India,Bahrain,Chinese Taipei,3,1,22,25,25,25,-,25,23,22,20,-,1,15,12,3,0,-,12,4,16,32,3,5,2,10,0,4,18,22,8,2,10,20,9,7,25,7,0,26,33
Men,2026,2,2026/6/20,A,Preliminary,Amdavad,India,Bahrain,Chinese Taipei,3,1,22,25,25,25,-,25,23,22,20,-,2,19,14,5,0,-,14,4,16,34,5,5,5,15,0,6,19,25,6,1,11,18,10,1,20,6,0,27,33
Men,2026,2,2026/6/20,A,Preliminary,Amdavad,India,Bahrain,Chinese Taipei,3,1,22,25,25,25,-,25,23,22,20,-,3,18,14,2,2,-,14,2,10,26,2,5,4,11,2,2,20,24,12,1,8,21,4,2,14,5,0,22,27
Men,2026,2,2026/6/20,A,Preliminary,Amdavad,India,Bahrain,Chinese Taipei,3,1,22,25,25,25,-,25,23,22,20,-,4,19,13,6,0,-,13,4,10,27,6,5,3,14,0,2,23,25,16,0,3,19,6,6,15,9,0,18,27
Men,2026,2,2026/6/20,A,Preliminary,Amdavad,India,Chinese Taipei,Bahrain,1,3,25,23,22,20,-,22,25,25,25,-,ALL,68,56,8,4,-,56,25,39,120,8,26,25,59,4,13,74,91,50,2,30,82,20,8,66,44,2,76,122
Men,2026,2,2026/6/20,A,Preliminary,Amdavad,India,Chinese Taipei,Bahrain,1,3,25,23,22,20,-,22,25,25,25,-,1,19,14,3,2,-,14,4,13,31,3,3,7,13,2,5,18,25,14,0,4,18,8,5,22,9,0,22,31
Men,2026,2,2026/6/20,A,Preliminary,Amdavad,India,Chinese Taipei,Bahrain,1,3,25,23,22,20,-,22,25,25,25,-,2,15,12,2,1,-,12,6,12,30,2,9,9,20,1,5,17,23,8,0,11,19,4,1,21,11,0,23,34
Men,2026,2,2026/6/20,A,Preliminary,Amdavad,India,Chinese Taipei,Bahrain,1,3,25,23,22,20,-,22,25,25,25,-,3,19,17,1,1,-,17,7,8,32,1,9,5,15,1,2,20,23,15,2,5,22,4,0,11,14,0,14,28
Men,2026,2,2026/6/20,A,Preliminary,Amdavad,India,Chinese Taipei,Bahrain,1,3,25,23,22,20,-,22,25,25,25,-,4,15,13,2,0,-,13,8,6,27,2,5,4,11,0,1,19,20,13,0,10,23,4,2,12,10,2,17,29
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Korea,Thailand,2,3,17,26,25,18,7,25,24,21,25,15,ALL,71,61,8,2,-,61,27,52,140,8,27,29,64,2,16,76,94,63,4,31,98,27,21,78,49,1,85,135
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Korea,Thailand,2,3,17,26,25,18,7,25,24,21,25,15,1,13,12,0,1,-,12,6,11,29,0,8,4,12,1,1,16,18,12,2,8,22,7,4,17,11,1,18,30
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Korea,Thailand,2,3,17,26,25,18,7,25,24,21,25,15,2,20,16,4,0,-,16,9,7,32,4,5,9,18,0,3,22,25,13,0,9,22,5,4,15,12,0,18,30
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Korea,Thailand,2,3,17,26,25,18,7,25,24,21,25,15,3,18,15,3,0,-,15,3,11,29,3,2,5,10,0,5,20,25,15,0,4,19,5,6,16,10,0,17,27
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Korea,Thailand,2,3,17,26,25,18,7,25,24,21,25,15,4,14,13,0,1,-,13,3,18,34,0,9,7,16,1,5,12,18,14,1,7,22,9,5,20,12,0,20,32
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Korea,Thailand,2,3,17,26,25,18,7,25,24,21,25,15,5,6,5,1,0,-,5,6,5,16,1,3,4,8,0,2,6,8,9,1,3,13,1,2,10,4,0,12,16
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Thailand,Korea,3,2,25,24,21,25,15,17,26,25,18,7,ALL,74,57,13,4,-,57,17,56,130,13,16,17,46,4,11,94,109,45,2,31,78,37,25,90,33,0,94,127
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Thailand,Korea,3,2,25,24,21,25,15,17,26,25,18,7,1,19,14,3,2,-,14,1,11,26,3,3,5,11,2,2,20,24,11,1,5,17,9,6,20,8,0,19,27
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Thailand,Korea,3,2,25,24,21,25,15,17,26,25,18,7,2,15,11,4,0,-,11,7,13,31,4,1,2,7,0,3,22,25,15,0,7,22,9,6,18,6,0,25,31
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Thailand,Korea,3,2,25,24,21,25,15,17,26,25,18,7,3,14,13,1,0,-,13,7,9,29,1,7,2,10,0,2,19,21,12,0,8,20,7,5,17,11,0,19,30
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Thailand,Korea,3,2,25,24,21,25,15,17,26,25,18,7,4,16,14,1,1,-,14,1,13,28,1,3,7,11,1,3,21,25,5,1,7,13,9,6,24,7,0,19,26
Men,2026,3,2026/6/20,B,Preliminary,Amdavad,India,Thailand,Korea,3,2,25,24,21,25,15,17,26,25,18,7,5,10,5,4,1,-,5,1,10,16,4,2,1,7,1,1,12,14,2,0,4,6,3,2,11,1,0,12,13
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,India,New Zealand,3,0,25,25,25,-,-,23,19,14,-,-,ALL,48,35,11,2,-,35,15,26,76,11,11,15,37,2,7,65,74,20,3,17,40,21,10,52,24,0,48,72
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,India,New Zealand,3,0,25,25,25,-,-,23,19,14,-,-,1,17,13,4,0,-,13,10,12,35,4,2,5,11,0,1,24,25,8,0,11,19,10,6,24,9,0,25,34
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,India,New Zealand,3,0,25,25,25,-,-,23,19,14,-,-,2,14,10,4,0,-,10,4,3,17,4,2,2,8,0,4,20,24,7,2,4,13,3,2,8,7,0,9,16
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,India,New Zealand,3,0,25,25,25,-,-,23,19,14,-,-,3,17,12,3,2,-,12,1,11,24,3,7,8,18,2,2,21,25,5,1,2,8,8,2,20,8,0,14,22
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,India,0,3,23,19,14,-,-,25,25,25,-,-,ALL,37,30,4,3,-,30,21,37,88,4,11,6,21,3,17,37,57,40,2,25,67,15,3,41,24,0,65,89
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,India,0,3,23,19,14,-,-,25,25,25,-,-,1,15,12,3,0,-,12,8,16,36,3,4,3,10,0,4,19,23,14,0,10,24,4,1,19,9,0,27,36
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,India,0,3,23,19,14,-,-,25,25,25,-,-,2,11,8,1,2,-,8,8,6,22,1,5,0,6,2,7,11,20,15,0,5,20,3,0,6,8,0,15,23
Men,2026,4,2026/6/21,A,Preliminary,Amdavad,India,New Zealand,India,0,3,23,19,14,-,-,25,25,25,-,-,3,11,10,0,1,-,10,5,15,30,0,2,3,5,1,6,7,14,11,2,10,23,8,2,16,7,0,23,30
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Australia,Chinese Taipei,1,3,23,22,25,19,-,25,25,23,25,-,ALL,68,53,11,4,-,53,17,42,112,11,24,18,53,4,15,71,90,34,5,47,86,37,15,65,13,2,105,120
Men,2026,5,2026/6/21,A,Preliminary,Amdavad,India,Australia,Chinese Taipei,1,3,23,22,25,19,-,25,25,23,25,-,1,17,14,2,1,-,14,3,10,27,2,6,5,13,1,2,20,23,6,2,13,21,10,4,19,5,1,23,29
